PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY
"Talen
Horton-Tucker",LAL,5,G,6-4,234 lbs,Iowa State,USA
"Danuel
House Jr.",HOU,4,F-G,6-6,220 lbs,Texas A&M,USA
"Dwight
Howard",LAL,39,C-F,6-10,265 lbs,SW Atlanta Christian Academy (GA),USA
"Markus
Howard",DEN,0,G,5-10,175 lbs,Marquette,USA
"Kevin
Huerter",ATL,3,G-F,6-7,198 lbs,Maryland,USA
"Jay
Huff",LAL,34,F,7-1,240 lbs,Virginia,USA
"Elijah
Hughes",UTA,33,G,6-5,215 lbs,Syracuse,USA
"De'Andre
Hunter",ATL,12,F-G,6-8,221 lbs,Virginia,USA
"Chandler
Hutchison",PHX,35,F-G,6-6,210 lbs,Boise State,USA
"Bones
Hyland",DEN,3,G,6-2,169 lbs,Virginia Commonwealth,USA
"Serge
Ibaka",LAC,9,F,6-10,235 lbs,Ricoh Manresa,Republic of the Congo
"Andre
Iguodala",GSW,9,G-F,6-6,215 lbs,Arizona,USA
"Joe
Ingles",UTA,2,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia
"Brandon
Ingram",NOP,14,F,6-8,190 lbs,Duke,USA
"Kyrie
Irving",BKN,11,G,6-2,195 lbs,Duke,Australia
"Jonathan
Isaac",ORL,1,F,6-10,230 lbs,Florida State,USA
"Frank
Jackson",DET,5,G,6-3,205 lbs,Duke,USA
"Isaiah
Jackson",IND,23,F,6-10,205 lbs,Kentucky,USA
"Josh
Jackson",DET,20,G-F,6-8,207 lbs,Kansas,USA
"Reggie
Jackson",LAC,1,G,6-2,208 lbs,Boston College,USA
"Jaren
Jackson Jr.",MEM,13,F-C,6-11,242 lbs,Michigan St,USA
"LeBron
James",LAL,6,F,6-9,250 lbs,St. Vincent-St. Mary HS (OH),USA
"DeJon
Jarreau",IND,17,G,6-5,185 lbs,Houston,USA
"Ty
Jerome",OKC,16,G-F,6-5,195 lbs,Virginia,USA
"Isaiah
Joe",PHI,7,G,6-4,165 lbs,Arkansas,USA
"Alize
Johnson",CHI,22,F,6-8,212 lbs,Missouri State,USA
"Cameron
Johnson",PHX,23,F,6-8,210 lbs,UNC,USA
"David
Johnson",TOR,13,G,6-4,203 lbs,Louisville,USA
"Jalen
Johnson",ATL,1,F,6-8,219 lbs,Duke,USA
"James
Johnson",BKN,16,F,6-7,240 lbs,Wake Forest,USA
"Keldon
Johnson",SAS,3,F-G,6-6,220 lbs,Kentucky,USA
"Keon
Johnson",LAC,45,G,6-4,185 lbs,Tennessee,USA
"Nikola
Jokic",DEN,15,C,6-11,284 lbs,Mega Basket,Serbia
"Damian
Jones",SAC,30,C,6-11,245 lbs,Vanderbilt,USA
"Herbert
Jones",NOP,5,F,6-7,206 lbs,Alabama,USA
"Kai
Jones",CHA,23,C-F,6-10,221 lbs,Texas,Bahamas
"Tre
Jones",SAS,33,G,6-1,185 lbs,Duke,USA
"Tyus
Jones",MEM,21,G,6-0,196 lbs,Duke,USA
"Derrick
Jones Jr.",CHI,5,F,6-6,210 lbs,UNLV,USA
"DeAndre
Jordan",LAL,10,C,6-11,265 lbs,Texas A&M,USA
"Cory
Joseph",DET,18,G,6-3,200 lbs,Texas,Canada
"Georgios
Kalaitzakis",MIL,18,F,6-7,192 lbs,Panathinaikos,Greece
"Frank
Kaminsky",PHX,8,F-C,7-0,240 lbs,Wisconsin,USA
"Enes
Kanter",BOS,13,C,6-10,250 lbs,Fenerbahce,Turkey
"Luke
Kennard",LAC,5,G,6-5,206 lbs,Duke,USA
"Louis
King",SAC,23,F,6-7,205 lbs,Oregon,USA
"Corey
Kispert",WAS,24,F,6-6,224 lbs,Gonzaga,USA
"Maxi
Kleber",DAL,42,F,6-10,240 lbs,Bayern Munich,Germany
"Nathan
Knight",MIN,30,F-C,6-10,253 lbs,William & Mary,USA
"Kevin
Knox II",NYK,20,F,6-7,215 lbs,Kentucky,USA
"John
Konchar",MEM,46,G,6-5,210 lbs,Indiana-Purdue Fort Wayne,USA
"Furkan
Korkmaz",PHI,30,G-F,6-7,202 lbs,Anadolu Efes,Turkey
"Vit
Krejci",OKC,27,G,6-8,195 lbs,Zaragoza,Czech Republic
"Arnoldas
Kulboka",CHA,98,F,6-10,209 lbs,Bilbao,Lithuania
"Jonathan
Kuminga",GSW,0,F,6-7,225 lbs,NBA G League Ignite,DRC
"Kyle
Kuzma",WAS,33,F,6-9,221 lbs,Utah,USA
"Zach
LaVine",CHI,8,G-F,6-5,200 lbs,UCLA,USA
"Jeremy
Lamb",IND,26,G-F,6-5,180 lbs,Connecticut,USA
"Jock
Landale",SAS,34,C,6-11,255 lbs,,Australia
"Romeo
Langford",BOS,9,G-F,6-5,216 lbs,Indiana,USA
"Jake
Layman",MIN,10,F,6-8,209 lbs,Maryland,USA
"Caris
LeVert",IND,22,G,6-6,205 lbs,Michigan,USA
"Damion
Lee",GSW,1,G-F,6-5,210 lbs,Drexel,USA
"Saben
Lee",DET,38,G,6-2,183 lbs,Vanderbilt,USA
"Alex
Len",SAC,25,C,7-0,250 lbs,Maryland,Ukraine
"Kawhi
Leonard",LAC,2,F,6-7,225 lbs,San Diego State,USA
"Scottie
Lewis",CHA,16,G,6-5,185 lbs,Florida,USA
"Kira
Lewis Jr.",NOP,13,G,6-1,170 lbs,Alabama,USA
"Damian
Lillard",POR,0,G,6-2,195 lbs,Weber State,USA
"Nassir
Little",POR,9,F-G,6-5,220 lbs,UNC,USA
"Isaiah
Livers",DET,12,F,6-6,232 lbs,Michigan,USA
"Kevon
Looney",GSW,5,F,6-9,222 lbs,UCLA,USA
"Brook
Lopez",MIL,11,C,7-0,282 lbs,Stanford,USA
"Robin
Lopez",ORL,33,C,7-0,281 lbs,Stanford,USA
"Didi
Louzada",NOP,0,G,6-5,188 lbs,Sydney Kings,Brazil
"Kevin
Love",CLE,0,F-C,6-8,251 lbs,UCLA,USA
"Kyle
Lowry",MIA,7,G,6-0,196 lbs,Villanova,USA
"Timothe
Luwawu-Cabarrot",ATL,7,G-F,6-7,215 lbs,Mega Basket,France
"Trey
Lyles",DET,8,F,6-9,234 lbs,Kentucky,Canada
"Theo
Maledon",OKC,11,G,6-4,175 lbs,Asvel,France
"Sandro
Mamukelashvili",MIL,54,F-C,6-9,240 lbs,Seton Hall,Georgia
"Terance
Mann",LAC,14,G-F,6-5,215 lbs,Florida State,USA
"Tre
Mann",OKC,23,G,6-3,178 lbs,Florida,USA
"Boban
Marjanovic",DAL,51,C,7-3,290 lbs,Crvena zvezda,Serbia
"Lauri
Markkanen",CLE,24,F-C,6-11,240 lbs,Arizona,Finland
"Naji
Marshall",NOP,8,F,6-7,220 lbs,Xavier,USA
"Caleb
Martin",MIA,16,F,6-5,205 lbs,Nevada-Reno,USA
"Cody
Martin",CHA,11,F,6-6,205 lbs,Nevada-Reno,USA
"Kelan
Martin",IND,21,F,6-5,230 lbs,Butler,USA
"Kenyon
Martin Jr.",HOU,6,F,6-5,215 lbs,IMG Academy (FL),USA
"Garrison
Mathews",HOU,25,G,6-5,215 lbs,Lipscomb,USA
"Tyrese
Maxey",PHI,0,G,6-2,200 lbs,Kentucky,USA
"Skylar
Mays",ATL,4,G,6-4,205 lbs,Louisiana State,USA
"Miles
McBride",NYK,2,G,6-1,195 lbs,West Virginia,USA
"CJ
McCollum",POR,3,G,6-3,190 lbs,Lehigh,USA
"T.J.
McConnell",IND,9,G,6-1,190 lbs,Arizona,USA
"Jaden
McDaniels",MIN,3,F,6-9,185 lbs,Washington,USA
"Jalen
McDaniels",CHA,6,F-C,6-9,205 lbs,San Diego State,USA
"Doug
McDermott",SAS,17,F,6-7,225 lbs,Creighton,USA
"JaVale
McGee",PHX,0,C-F,7-0,270 lbs,Nevada-Reno,USA
"Rodney
McGruder",DET,17,G,6-4,205 lbs,Kansas State,USA
"JaQuori
McLaughlin",DAL,,G,6-4,190 lbs,California-Santa Barbara,USA
"Jordan
McLaughlin",MIN,6,G,5-11,185 lbs,USC,USA
"Ben
McLemore",POR,23,G,6-3,195 lbs,Kansas,USA
"De'Anthony
Melton",MEM,0,G,6-2,200 lbs,USC,USA
"Sam
Merrill",MEM,25,G,6-4,205 lbs,Utah State,USA
"Chimezie
Metu",SAC,7,F-C,6-9,225 lbs,USC,USA
"Khris
Middleton",MIL,22,F,6-7,222 lbs,Texas A&M,USA
"Patty
Mills",BKN,8,G,6-0,180 lbs,St.Mary's College of California,Australia
"Paul
Millsap",BKN,31,F,6-7,257 lbs,Louisiana Tech,USA
"Shake
Milton",PHI,18,G-F,6-5,205 lbs,Southern Methodist,USA
"Davion
Mitchell",SAC,15,G,6-0,202 lbs,Baylor,USA
"Donovan
Mitchell",UTA,45,G,6-1,215 lbs,Louisville,USA
